date, change
"Wed May 10 10:53:28 EEST 2017","20.0"
"Wed May 10 10:53:37 EEST 2017","22.0"
"Wed May 10 13:27:25 EEST 2017","20.0"
"Wed May 10 13:27:54 EEST 2017","22.0"
"Wed May 10 13:29:44 EEST 2017","20.0"
"Wed May 10 13:30:21 EEST 2017","22.0"
"Sat May 06 11:10:33 EEST 2017","ON"
"Wed May 10 10:41:13 EEST 2017","ON"
"Wed May 10 10:41:27 EEST 2017","OFF"
"Wed May 10 10:53:30 EEST 2017","ON"
"Wed May 10 10:53:38 EEST 2017","OFF"
"Wed May 10 13:27:42 EEST 2017","ON"
"Wed May 10 13:30:14 EEST 2017","ON"
"Wed May 10 13:30:23 EEST 2017","OFF"
